tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
8014,9877,20389,0,-1,0,-1,0,,0000000,,,load,20100825,,
4666,6587,20406,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
7966,9829,20406,0,-1,0,-1,0,,0000000,,,load,20100825,,
7873,9778,20407,0,-1,0,-1,0,,0000000,,,load,20100825,,
7874,9779,20407,0,-1,0,-1,0,,0000000,,,load,20100825,,
7979,9842,20408,0,-1,0,-1,0,,0000000,,,load,20100825,,
7847,9752,20413,0,-1,0,-1,0,,0000000,,,load,20100825,,
4057,5983,20415,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3388,5308,20419,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
4056,5982,20419,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3639,5559,20427,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
7814,9719,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
7815,9720,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
7816,9721,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
7817,9722,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
7818,9723,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
7819,9724,20427,0,-1,0,-1,0,,0000000,,,load,20100825,,
6053,7949,20436,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6055,7951,20436,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
,40568,20436,1,,,,,40328,3-29,,,load,20220113,,
3627,5547,20457,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
,10327,19915,1,,,,,40328,87-90,,,load,20220113,,
9114,10978,19928,0,-1,0,-1,0,,0000000,,,load,20100825,,
6579,8477,20013,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070627,,
6638,8534,20017,0,-1,0,-1,0,,0000000,,,BDGLW,20070702,,
6639,8535,20017,0,-1,0,-1,0,,0000000,,,BDGLW,20070702,,
8855,10718,20017,0,-1,0,-1,0,,0000000,,,load,20100825,,
8856,10719,20017,0,-1,0,-1,0,,0000000,,,load,20100825,,
6581,8480,20018,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070627,BDZHOUJIA,20070627
6587,8482,20018,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070627,,
8804,10667,20018,0,-1,0,-1,0,,0000000,,,load,20100825,,
3578,5497,20019,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8830,10693,20024,0,-1,0,-1,0,,0000000,,,load,20100825,,
6626,8522,20027,0,-1,0,-1,0,,0000000,,,BDDWJ,20070630,BDDWJ,20070630
6625,8521,20029,0,-1,0,-1,0,,0000000,,,BDLYH,20070630,,
6686,8583,20043,0,-1,0,-1,0,,0000000,,,BDGLW,20070704,,
6687,8584,20043,0,-1,0,-1,0,,0000000,,,BDGLW,20070704,,
,39803,20043,1,,,,,,,,,load,20181206,,
,39804,20043,1,,,,,,,,,load,20181206,,
8971,10835,20053,0,-1,0,-1,0,,0000000,,,load,20100825,,
975,2948,20059,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
976,2949,20059,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3384,5304,20059,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3385,5305,20059,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3386,5306,20059,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8633,10496,20059,0,-1,0,-1,0,,0000000,,,load,20100825,,
29680,38306,20059,0,-1,0,-1,0,,0000000,,,PBOL,20160719,,
,2949,20059,1,,,,,40328,798,,,load,20220113,,
,5304,20059,1,,,,,40328,1082-1094,,,load,20220113,,
10087,11947,20064,0,-1,0,-1,0,,0000000,,,load,20100825,,
10088,11948,20064,0,-1,0,-1,0,,0000000,,,load,20100825,,
1070,3041,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3428,5349,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3429,5350,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3430,5351,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3431,5352,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3432,5353,20065,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
,39805,20065,1,,,,,,,,,load,20181206,,
,39806,20065,1,,,,,,,,,load,20181206,,
4563,6483,20099,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6906,8799,20141,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070930,,
8932,10796,20141,0,-1,0,-1,0,,0000000,,,load,20100825,,
4055,5981,20457,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
7972,9835,20457,0,-1,0,-1,0,,0000000,,,load,20100825,,
7973,9836,20457,0,-1,0,-1,0,,0000000,,,load,20100825,,
2546,4453,20478,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
9456,11316,20494,0,-1,0,-1,0,,0000000,,,load,20100825,,
9457,11317,20494,0,-1,0,-1,0,,0000000,,,load,20100825,,
9458,11318,20494,0,-1,0,-1,0,,0000000,,,load,20100825,,
9459,11319,20494,0,-1,0,-1,0,,0000000,,,load,20100825,,
23341,24824,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
23890,25305,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
24158,25546,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
24180,25566,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
24310,25678,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
25420,26731,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
25713,27002,20536,0,-1,0,-1,0,,0000000,,,load,20100825,,
,25566,20536,1,,,,,40328,130-131,,,load,20220113,,
,40544,20536,1,,,,,40328,3-29,,,load,20220113,,
,45547,20536,1,,,,,40328,685-700,,,load,20220113,,
10859,12718,20543,0,-1,0,-1,0,,0000000,,,load,20100825,,
10856,12715,20546,0,-1,0,-1,0,,0000000,,,load,20100825,,
5556,7460,20555,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8021,9884,20555,0,-1,0,-1,0,,0000000,,,load,20100825,,
8020,9883,20556,0,-1,0,-1,0,,0000000,,,load,20100825,,
10834,12693,20582,0,-1,0,-1,0,,0000000,,,load,20100825,,
10835,12694,20582,0,-1,0,-1,0,,0000000,,,load,20100825,,
10836,12695,20582,0,-1,0,-1,0,,0000000,,,load,20100825,,
10837,12696,20582,0,-1,0,-1,0,,0000000,,,load,20100825,,
10838,12697,20584,0,-1,0,-1,0,,0000000,,,load,20100825,,
1884,3821,20607,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6326,8222,20636,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
10848,12707,20637,0,-1,0,-1,0,,0000000,,,load,20100825,,
10849,12708,20637,0,-1,0,-1,0,,0000000,,,load,20100825,,
10850,12709,20637,0,-1,0,-1,0,,0000000,,,load,20100825,,
3682,5602,20646,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8126,9989,20646,0,-1,0,-1,0,,0000000,,,load,20100825,,
